Rank,Team,2026,Last 3,Last 1,Home,Away
1,Denver,4.9,7.3,4.0,6.8,3.3
2,Okla City,4.5,4.7,7.0,7.6,1.7
3,Houston,4.3,-3.0,-3.0,2.0,6.1
4,Miami,3.4,4.3,2.0,3.8,3.0
5,San Antonio,3.3,-0.7,-1.0,4.6,1.4
6,Minnesota,2.0,-3.7,-7.0,6.4,-1.5
7,Phoenix,1.6,4.3,25.0,2.5,0.4
8,Orlando,1.4,-1.0,0.0,2.0,0.7
9,Toronto,1.2,-0.3,-4.0,1.1,1.3
10,Boston,1.2,1.7,-6.0,0.0,2.6
11,Cleveland,1.1,2.7,3.0,-0.3,3.0
12,New York,0.9,0.7,6.0,2.9,-1.3
13,Milwaukee,0.4,-3.7,-2.0,0.5,0.3
14,Utah,0.2,7.0,9.0,6.3,-6.6
15,Atlanta,0.2,-7.7,-22.0,1.1,-0.3
16,Detroit,-0.1,4.3,6.0,-1.3,0.8
17,LA Clippers,-0.8,2.0,1.0,2.3,-3.2
18,Golden State,-1.0,-4.3,3.0,0.8,-2.1
19,LA Lakers,-1.1,-2.7,-1.0,-2.9,0.2
20,Charlotte,-1.6,-5.7,-6.0,1.9,-5.0
21,Philadelphia,-1.7,1.0,0.0,-3.8,1.3
22,Dallas,-1.7,-3.0,-1.0,-2.1,-1.0
23,Washington,-1.8,4.0,22.0,1.1,-3.8
24,Portland,-2.1,-5.0,1.0,-2.3,-1.9
25,Chicago,-2.5,-4.0,-7.0,-1.5,-3.3
26,Memphis,-2.5,-6.3,-14.0,-1.6,-3.4
27,New Orleans,-2.6,8.3,14.0,-3.2,-1.9
28,Indiana,-2.7,-0.3,4.0,-2.6,-2.7
29,Brooklyn,-3.5,-3.3,2.0,-1.9,-4.9
30,Sacramento,-4.7,-11.3,-25.0,-4.9,-4.5
