Rank,Team,2026,Last 3,Last 1,Home,Away
1,Orlando,23.716,22.037,21.223,24.575,22.769
2,LA Lakers,22.152,23.04,22.028,23.046,21.515
3,Denver,21.024,17.116,11.124,20.767,21.258
4,Utah,20.678,14.046,11.21,22.399,18.629
5,Indiana,20.531,20.524,13.478,21.031,20.116
6,Portland,20.424,19.4,18.171,21.131,19.901
7,Brooklyn,20.416,20.852,20.948,20.381,20.447
8,Houston,20.384,14.807,15.758,21.284,19.689
9,Detroit,20.23,23.727,28.784,19.966,20.449
10,Okla City,20.213,21.401,29.466,20.295,20.14
11,San Antonio,19.846,23.365,21.04,18.775,21.345
12,Charlotte,19.777,19.478,17.312,18.892,20.615
13,Minnesota,19.754,19.974,21.608,21.035,18.72
14,Philadelphia,19.621,17.163,18.454,19.966,19.149
15,LA Clippers,19.476,21.464,21.026,17.547,20.985
16,Golden State,19.316,18.691,18.91,17.899,20.23
17,Dallas,19.299,16.181,13.27,20.647,16.294
18,Toronto,19.286,19.577,21.179,19.05,19.494
19,Memphis,19.199,14.798,10.939,20.976,17.207
20,Miami,18.694,17.476,17.634,17.973,19.506
21,Chicago,18.45,20.965,21.255,19.468,17.574
22,Cleveland,18.354,15.416,12.638,17.914,18.933
23,New Orleans,18.274,16.52,8.204,17.75,19.005
24,New York,18.1,16.294,15.388,19.229,16.833
25,Phoenix,17.023,12.771,13.983,17.063,16.968
26,Sacramento,16.89,17.924,7.99,15.63,18.044
27,Atlanta,16.818,12.511,11.377,18.908,15.611
28,Washington,15.159,16.677,16.118,15.558,14.873
29,Boston,14.832,16.162,20.844,15.517,13.971
30,Milwaukee,13.653,10.901,8.817,13.972,13.214
